ano;mes;sigla_uf;id_municipio;saldo_movimentacao;tipo_movimentacao;cbo_2002;cnae_2_subclasse;salario_mensal;grau_instrucao;sexo;idade;raca_cor;horas_contratuais
2023;1;AC;1200138;1;97;317210;7733100;2798.0;9;1;51;6;44.0
2023;1;AC;1200203;-1;40;317110;5510801;2669.04;9;1;29;1;44.0
2023;1;AC;1200203;1;97;317205;9511800;1302.0;7;1;18;6;44.0
2023;1;AC;1200401;-1;31;212420;4711302;1800.0;7;1;25;6;44.0
2023;1;AC;1200401;-1;31;317210;4729699;3000.0;8;1;24;6;44.0
2023;1;AC;1200401;1;97;317110;6204000;1600.0;9;3;22;6;44.0
2023;1;AC;1200401;1;97;212420;6209100;1818.0;7;1;23;6;44.0
2023;1;AC;1200401;-1;40;317210;6399200;1500.0;7;1;34;3;44.0
2023;1;AC;1200401;-1;40;317210;8531700;1419.8;9;1;34;1;44.0
2023;1;AC;1200401;-1;31;317210;8640210;2624.94;7;1;46;6;44.0
2023;1;AC;1200609;1;97;212405;4751201;1302.0;7;1;31;6;44.0
2023;2;AC;1200401;-1;31;212410;4321500;1650.0;9;1;35;3;44.0
2023;2;AC;1200401;-1;31;317205;4751201;1302.0;7;1;25;6;44.0
2023;2;AC;1200203;-1;31;317210;6190601;1212.0;7;3;30;6;44.0
2023;2;AC;1200401;-1;40;317210;4711301;1425.6;7;1;25;3;44.0
2023;2;AC;1200401;-1;40;317210;6621502;2798.0;9;1;27;6;44.0
2023;2;AC;1200401;-1;43;212410;6110803;1302.0;7;1;27;3;44.0
2023;2;AC;1200104;1;97;317210;1012103;2083.84;8;1;28;6;44.0
2023;2;AC;1200401;1;97;212410;4321500;1350.0;8;1;49;3;44.0
2023;2;AC;1200401;1;97;212410;4321500;1650.0;8;1;20;3;44.0
2023;2;AC;1200401;1;97;317210;4711301;1425.6;9;1;25;3;44.0
2023;2;AC;1200203;1;97;317110;5510801;2669.04;7;1;23;1;44.0
2023;2;AC;1200500;1;97;317210;6130200;1546.39;7;1;27;6;44.0
2023;2;AC;1200500;1;97;317210;6130200;1546.39;7;1;19;6;44.0
2023;2;AC;1200138;1;97;317205;7733100;2100.0;9;1;39;6;44.0
2023;2;AC;1200401;1;97;317210;9511800;1302.0;9;1;22;6;44.0
2023;3;AC;1200401;-1;31;212420;4712100;1840.0;9;1;30;3;44.0
2023;3;AC;1200401;-1;31;317205;4771701;1628.63;8;1;34;3;44.0
2023;3;AC;1200401;-1;31;317210;8513900;2173.97;9;1;31;6;44.0
2023;3;AC;1200401;-1;31;212410;8531700;3500.0;8;3;23;3;44.0
2023;3;AC;1200104;-1;40;317210;6190699;1406.0;7;1;25;6;44.0
2023;3;AC;1200401;-1;40;317210;6399200;2575.0;9;1;23;6;44.0
2023;3;AC;1200401;-1;40;212410;8531700;1942.11;8;1;25;3;44.0
2023;3;AC;1200401;1;97;317105;4313400;660.0;6;1;15;3;22.0
2023;3;AC;1200203;1;97;317210;4757100;1302.0;7;1;36;3;44.0
2023;3;AC;1200401;1;97;317110;4930202;591.82;7;1;14;6;44.0
2023;3;AC;1200401;1;97;317110;4930202;591.82;7;1;15;6;44.0
2023;3;AC;1200401;1;97;212420;6120502;3479.0;9;1;32;3;44.0
2023;3;AC;1200401;1;97;317210;6399200;1302.0;9;3;30;3;44.0
2023;3;AC;1200401;1;97;212410;6424703;5000.0;9;1;36;4;40.0
